date,county,covid,reflu,deaths
10/22/2022,Caldwell ,5,1,0
10/22/2022,Camden ,0,,0
10/22/2022,Carteret ,5,0,0
10/22/2022,Caswell ,0,,0
10/22/2022,Catawba ,14,1,0
10/22/2022,Chatham ,6,0,0
10/22/2022,Cherokee ,4,0,0
10/22/2022,Chowan ,0,,0
10/22/2022,Clay ,2,0,0
10/22/2022,Cleveland ,6,2,0
10/22/2022,Columbus ,4,1,0
10/22/2022,Craven ,2,1,0
10/22/2022,Cumberland ,21,2,0
10/22/2022,Currituck ,3,0,0
10/22/2022,Dare ,4,0,0
10/22/2022,Davidson ,14,1,0
10/22/2022,Davie ,0,,0
10/22/2022,Duplin ,2,1,0
10/22/2022,Durham ,24,7,0
10/22/2022,Edgecombe ,3,2,0
10/22/2022,Forsyth ,22,3,0
10/22/2022,Franklin ,0,,0
10/22/2022,Gaston ,17,6,0
10/22/2022,Gates ,2,0,0
